,PLAYER_ID,ALL_FGA,ALL_ALL_AVG_DISTANCE,ALL_3PT_AVG_DISTANCE,ALL_2PT_AVG_DISTANCE,MADE_FGA,MADE_ALL_AVG_DISTANCE,MADE_3PT_AVG_DISTANCE,MADE_2PT_AVG_DISTANCE,MISS_FGA,MISS_ALL_AVG_DISTANCE,MISS_3PT_AVG_DISTANCE,MISS_2PT_AVG_DISTANCE,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION
194,1630172,235,15.94468085106383,25.206349206349206,5.238532110091743,88.0,16.21590909090909,24.8,4.921052631578948,147.0,15.782312925170068,25.473684210526315,5.408450704225352,Patrick Williams,1610612741,CHI
90,1627936,163,15.920245398773005,24.1010101010101,3.265625,70.0,12.257142857142858,24.322580645161292,2.6666666666666665,93.0,18.677419354838708,24.0,4.2,Alex Caruso,1610612760,OKC
468,1642857,59,15.864406779661017,24.257142857142856,3.625,19.0,19.94736842105263,23.5,1.0,40.0,13.925,24.894736842105264,4.0,Kasparas Jakučionis,1610612748,MIA
226,1630530,644,15.847826086956522,26.177177177177178,4.787781350482315,320.0,12.603125,26.07751937984496,3.5026178010471205,324.0,19.05246913580247,26.24019607843137,6.833333333333333,Trey Murphy III,1610612740,NOP
282,1631097,317,15.82018927444795,25.47586206896552,7.680232558139535,134.0,14.365671641791044,25.264150943396228,7.234567901234568,183.0,16.885245901639344,25.597826086956523,8.076923076923077,Bennedict Mathurin,1610612754,IND
486,1642883,214,15.813084112149532,24.453125,2.953488372093023,83.0,14.53012048192771,24.58695652173913,2.027027027027027,131.0,16.625954198473284,24.378048780487806,3.6530612244897958,Sion James,1610612766,CHA
143,1629026,94,15.808510638297872,25.125,6.086956521739131,49.0,13.346938775510203,24.736842105263158,6.133333333333334,45.0,18.488888888888887,25.379310344827587,6.0,Kenrich Williams,1610612760,OKC
179,1629675,492,15.784552845528456,24.665413533834588,5.331858407079646,233.0,13.214592274678111,24.48076923076923,4.131782945736434,259.0,18.096525096525095,24.78395061728395,6.927835051546392,Naz Reid,1610612750,MIN
493,1642920,175,15.765714285714285,24.783132530120483,7.630434782608695,77.0,13.584415584415584,24.774193548387096,6.043478260869565,98.0,17.479591836734695,24.78846153846154,9.217391304347826,Kobe Sanders,1610612746,LAC
176,1629661,245,15.755102040816327,24.682539682539684,6.302521008403361,113.0,14.017699115044248,24.555555555555557,4.372881355932203,132.0,17.242424242424242,24.77777777777778,8.2,Cameron Johnson,1610612743,DEN
149,1629060,285,15.715789473684211,24.26984126984127,8.937106918238994,146.0,14.349315068493151,24.166666666666668,8.58695652173913,139.0,17.151079136690647,24.34722222222222,9.417910447761194,Rui Hachimura,1610612747,LAL
415,1642273,385,15.67012987012987,25.64406779661017,7.1826923076923075,180.0,13.822222222222223,25.35211267605634,6.3119266055045875,205.0,17.29268292682927,25.839622641509433,8.141414141414142,Kyshawn George,1610612764,WAS
80,1627750,737,15.592944369063773,25.418367346938776,9.072234762979685,361.0,14.570637119113574,25.290076335877863,8.465217391304348,376.0,16.574468085106382,25.521472392638035,9.727699530516432,Jamal Murray,1610612743,DEN
3,201142,683,15.576866764275255,25.51658767772512,11.133474576271187,348.0,14.005747126436782,25.3855421686747,10.441509433962263,335.0,17.208955223880597,25.6015625,12.019323671497585,Kevin Durant,1610612745,HOU
69,1626171,432,15.569444444444445,24.771084337349397,9.827067669172932,212.0,14.683962264150944,24.632911392405063,8.774436090225564,220.0,16.422727272727272,24.896551724137932,10.8796992481203,Bobby Portis,1610612749,MIL
278,1631093,172,15.55232558139535,25.6,6.815217391304348,79.0,13.79746835443038,25.892857142857142,7.1568627450980395,93.0,17.043010752688172,25.442307692307693,6.390243902439025,Jaden Ivey,1610612765,DET
79,1627747,198,15.54040404040404,25.28125,6.372549019607843,87.0,12.517241379310345,25.0,4.509433962264151,111.0,17.90990990990991,25.43548387096774,8.387755102040817,Caris LeVert,1610612765,DET
163,1629632,276,15.518115942028986,25.633802816901408,4.798507462686567,125.0,11.848,25.1875,3.5324675324675323,151.0,18.556291390728475,25.861702127659573,6.508771929824562,Coby White,1610612741,CHI
272,1630692,333,15.51051051051051,24.953757225433527,5.3,133.0,13.503759398496241,25.116666666666667,3.958904109589041,200.0,16.845,24.86725663716814,6.425287356321839,Jordan Goodwin,1610612756,PHX
157,1629614,453,15.509933774834437,26.55151515151515,9.184027777777779,201.0,13.542288557213931,26.45,8.049645390070921,252.0,17.07936507936508,26.60952380952381,10.272108843537415,Andrew Nembhard,1610612754,IND
22,202695,587,15.483816013628621,25.23394495412844,9.723577235772357,292.0,13.674657534246576,25.264367816091955,8.75609756097561,295.0,17.27457627118644,25.213740458015266,10.932926829268293,Kawhi Leonard,1610612746,LAC
